id,title,slug,description,parentId
5b9a8f2a-89a1-4d3e-9c7b-3b3d5b2c1c6e,Category 1,category-1,Detailed description for Category 1, covering various sub-topics and products.,""
c8f4c9c6-5b7d-4b9e-8e6d-7d7d8e8f9a9b,Category 2,category-2,Detailed description for Category 2, covering various sub-topics and products.,""
a1b2c3d4-e5f6-4a9b-8c7d-6e5f4g3h2i1j,Category 3,category-3,Detailed description for Category 3, covering various sub-topics and products.,""
f1e2d3c4-b5a6-4f9e-8d7c-6b5a4f3e2d1c,Category 4,category-4,Detailed description for Category 4, covering various sub-topics and products.,""
a9b8c7d6-e5f4-4a3b-8c2d-1e9f8g7h6i5j,Category 5,category-5,Detailed description for Category 5, covering various sub-topics and products.,""
d1c2b3a4-f5e6-4d9c-8b7a-6f5e4d3c2b1a,Category 6,category-6,Detailed description for Category 6, covering various sub-topics and products.,""
b9a8c7d6-e5f4-4a3b-8c2d-1e9f8g7h6i5j,Category 7,category-7,Detailed description for Category 7, covering various sub-topics and products.,""
c1d2e3f4-a5b6-4c9d-8e7f-6a5b4c3d2e1f,Category 8,category-8,Detailed description for Category 8, covering various sub-topics and products.,""
e9f8g7h6-i5j4-4k3l-8m2n-1o9p8q7r6s5t,Category 9,category-9,Detailed description for Category 9, covering various sub-topics and products.,""
f8e7d6c5-b4a3-4f2e-8d1c-9b8a7f6e5d4c,Category 10,category-10,Detailed description for Category 10, covering various sub-topics and products.,""
d7c6b5a4-e3f2-4d1c-8b9a-7f6e5d4c3b2a,Category 11,category-11,Detailed description for Category 11, covering various sub-topics and products.,""
a5b4c3d2-e1f9-4a8b-8c7d-6e5f4g3h2i1j,Category 12,category-12,Detailed description for Category 12, covering various sub-topics and products.,""
b4c3d2a1-f9e8-4b7a-8d6c-5e4f3g2h1i9j,Category 13,category-13,Detailed description for Category 13, covering various sub-topics and products.,""
c3d2a1b9-e8f7-4c6b-8d5c-4e3f2g1h9i8j,Category 14,category-14,Detailed description for Category 14, covering various sub-topics and products.,""
